log_budget,release_year,release_month,release_quarter,log_star_power,score,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,nan,romance,science_fiction,thriller,tv_movie,war,western,opening_weekend,revenue,names
18.132998684833918,2023,3,1,19.478329139127613,73.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152331644.48663995,271616668.0,Creed III
19.946737049621326,2022,12,4,19.958226834029492,78.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1257295206.218877,2316794914.0,Avatar: The Way of Water
18.420680753952364,2023,4,2,19.63438183703768,76.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,413332516.9053768,724459031.0,The Super Mario Bros. Movie
16.325109901643454,2023,1,1,18.207837569959935,70.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20471771.74422927,34200000.0,Mummies
18.15931599280497,2023,3,1,19.610324477691027,61.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178819693.64112553,340941958.6,Supercell
17.370858648025116,2023,2,1,18.82674796405004,66.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29485967.36101835,80000000.0,Cocaine Bear
18.420680753952364,2023,3,1,19.242164219680465,80.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,210809618.4,351349364.0,John Wick: Chapter 4
18.31532023940565,2022,12,4,19.51345132917902,83.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,278357482.06269157,483480577.0,Puss in Boots: The Last Wish
18.078190449090098,2022,9,3,19.410690219423703,59.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,130561334.69189805,254946484.2,Attack on Titan
18.596313320984784,2023,3,1,19.85712688047022,58.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,277046319.5577821,488962491.0,The Park
11.51293546492023,2023,2,1,17.510198739725112,58.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1322163.6203080916,3200000.0,Winnie the Pooh: Blood and Honey
16.300417291085605,2022,11,4,19.91609220653039,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,192254016.24542516,428214478.0,The Exorcist
17.595144398177723,2023,3,1,19.525130543229842,65.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,266341642.6723332,489543087.4,Murder Mystery 2
19.33697147982652,2022,11,4,20.211101576482015,73.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,383774685.8386993,854041058.0,Black Panther: Wakanda Forever
18.33729914588288,2023,4,2,19.642647637425547,72.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,185480006.24717966,462216471.8,The Pope's Exorcist
18.167077998040046,2022,7,3,19.62525279775929,62.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,201314263.05985045,562112551.0,Prizefighter: The Life of Jem Belcher
16.811242881518265,2023,2,1,19.414637048917992,64.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,23241724.286725495,54629497.0,Knock at the Cabin
17.80560511731054,2023,1,1,19.651132473502493,65.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,245955883.01554754,492646395.4,The Devil Conspiracy
18.51962070086524,2023,1,1,19.70217862064298,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109272180.72190972,318117812.6,Cazadora
18.631751722129472,2022,12,4,19.654087899637,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,197233393.4655592,420430064.8,Gold Run
18.229520250597744,2023,3,1,19.596826635276052,73.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,283858353.96,473097256.6,The Magician's Elephant
17.034386422832473,2023,1,1,19.075358597253963,69.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26339923.240492754,51000000.0,Plane
17.034386422832473,2004,2,1,19.734907679688526,74.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,237185076.8871247,622313635.0,The Passion of the Christ
18.797471998336515,2023,3,1,19.980718283215605,64.0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,151226836.44922718,321934831.2,Batman: The Doom That Came to Gotham
18.643824303266577,2023,3,1,19.247718184040522,69.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67719322.1150335,132107025.0,Shazam! Fury of the Gods
17.80560511731054,2023,2,1,19.860308583796808,65.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,240947522.93164116,492646395.4,Consecration
9.210440366976517,2022,8,3,18.2015622795223,53.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,7361051.096748101,17887093.8,Shark Side of the Moon
19.11382792951231,2022,10,4,19.58081132061332,71.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,219943311.70912308,391261706.0,Black Adam
18.042344317830995,2023,3,1,19.450487265057063,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99498595.8895316,280052393.0,Money Shot: The Pornhub Story
16.300417291085605,2023,1,1,19.19467572477592,74.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,85107563.7540675,167643991.0,M3GAN
19.11382792951231,2023,2,1,19.278018596603104,63.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,239183748.2221812,466001332.0,Ant-Man and the Wasp: Quantumania
18.116869303120836,2023,3,1,19.590413666179934,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,222255654.48,370426090.8,Sayen
18.542898385526172,2023,2,1,19.41396868224183,62.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,199204464.217271,369995579.2,Die Hart
14.72376952136689,2022,11,4,18.6245281541575,55.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,770874.807578261,1891519.0,13 Exorcisms
18.804172878064897,2022,6,2,19.523031224201222,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160245472.15449658,301123555.2,H.P. Lovecraft's Witch House
17.50439003707821,2017,5,2,19.149832448412894,73.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80665043.8791976,171539887.0,John Wick: Chapter 2
18.219787813797915,2022,9,3,19.711164891861845,63.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,202966162.96714532,408307377.8,Sick
18.569100757691327,2023,3,1,19.613453169842952,54.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,166981831.83453083,378399280.8,Black Warrant
16.591219469845594,2023,1,1,18.87024035401201,63.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2058988.8509551536,4495365.0,Shotgun Wedding
17.822843761378564,2019,5,2,19.32121417969591,74.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177571437.97871155,326709727.0,John Wick: Chapter 3 - Parabellum
18.54643195807627,2023,2,1,19.950745484695265,63.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,448393544.1071611,778431865.2,Legion of Super-Heroes
