"query","search interest","increase percent"
"avengers",100,"-7%"
"avengers movie",46,"300%"
"avengers 2012",43,"100%"
"avengers trailer",38,"-50%"
"the avengers",34,"-30%"
"avengers trailer 2012",27,"40%"
"the avengers movie",16,"140%"
"avengers full movie 2012",16,"Breakout"
"the avengers trailer",12,"-70%"
"the avengers 2012",12,"6%"
"avengers 2",11,"-9%"
"avengers official trailer",7,"-60%"
"the avengers trailer 2012",7,"-30%"
"avengers trailer 2",6,"-50%"
"hulk",6,"190%"
"avengers hulk",6,"190%"
"hulk avengers",6,"180%"
"the avengers in hindi",5,"1,750%"
"avengers song",5,"50%"
"avenger",4,"-20%"
"avengers part 1",4,"100%"
"avengers trailer 3",4,"-40%"
"avengers movie part 1",3,"170%"
"spiderman",3,"-20%"
"iron man",3,"20%"
"the avengers trailer 2",3,"-60%"
"dark knight rises",3,"-50%"
"avenger movie",3,"180%"
"thor",2,"-20%"
"hulk in avengers",2,"500%"
"the dark knight rises",2,"-60%"
"the avengers part 1",2,"-9%"
"hollywood movies 2012",2,"250%"
"the avenger",1,"-30%"
"spiderman 4",1,"-60%"
"avenger trailer",1,"-70%"
"avengers hulk scene",1,"400%"
"avengers hulk smash",1,"Breakout"
"iron man 3",1,"-10%"
"the amazing spider man",1,"-40%"
"avengers theme song",1,"50%"
"avangers",1,"10%"
"hulk in avengers 2012",1,"Breakout"
"hulk vs loki",1,"Breakout"
"hulk vs loki avengers",1,"Breakout"
"avengers hulk vs loki",1,"Breakout"
"making of avengers",1,"300%"
"hulk 3",1,"30%"
"avengers soundtrack",1,"-2%"
"marvel avengers trailer",1,"-20%"
